date,actual,forecast,lower_ci,upper_ci
2000-02-01,369.375,366.3831090912825,361.0217210827591,371.7444970998059
2000-03-01,370.4,367.41008810739584,361.982551888281,372.83762432651065
2000-04-01,371.54,368.7033449237605,363.2155449345218,374.19114491299916
2000-05-01,371.65,369.2591040180677,363.71169509559434,374.8065129405411
2000-06-01,371.625,368.62631043296545,363.0199263233644,374.2326945425665
2000-07-01,369.94,366.9588354239635,361.2940900796752,372.62358076825177
2000-08-01,367.95,364.98088414627586,359.2583727354628,370.7033955570889
2000-09-01,366.53999999999996,363.26437646751725,357.48467631282625,369.04407662220825
2000-10-01,366.725,363.37503243279457,357.53870388572113,369.211360979868
2000-11-01,368.125,364.6136643922968,358.7212516487227,370.5060771358709
2000-12-01,369.44,365.8872961501795,359.93932801207694,371.8352642882821
2001-01-01,370.175,366.930932172789,360.92792276057475,372.9339415850033
2001-02-01,371.325,367.68868179697256,361.6311312165496,373.74623237739553
2001-03-01,372.06,368.7156608130859,362.5907746344843,374.84054699168746
2001-04-01,372.775,370.00891762945054,363.8222737402391,376.195561518662
2001-05-01,373.79999999999995,370.56467672375777,364.3168857600327,376.81246768748287
2001-06-01,373.06,369.9318831386555,363.62353777391104,376.2402285034
2001-07-01,371.3,368.26440812965353,361.89608413072096,374.6327321285861
2001-08-01,369.425,366.2864568519659,359.8587138678487,372.71419983608314
2001-09-01,367.88,364.5699491732073,358.08333147333036,371.05656687308425
2001-10-01,368.05,364.6806051384846,358.1356423044538,371.2255679725154
2001-11-01,369.375,365.91923709798687,359.3164446725556,372.52202952341815
2001-12-01,371.02,367.19286885586956,360.5327489524579,373.85298875928123
