date,actual,sarima,prophet,lstm
2000-05-01,371.65,369.2591040180677,371.99212769416664,353.47855
2000-06-01,371.625,368.62631043296545,371.50696435133335,353.47394
2000-07-01,369.94,366.9588354239635,370.1917484389873,353.46942
2000-08-01,367.95,364.98088414627586,368.23665509665545,353.46503
2000-09-01,366.53999999999996,363.26437646751725,366.697911733608,353.46075
2000-10-01,366.725,363.37503243279457,366.7868331845288,353.4566
2000-11-01,368.125,364.6136643922968,367.89956219072053,353.45255
2000-12-01,369.44,365.8872961501795,369.0841416234708,353.4486
2001-01-01,370.175,366.930932172789,370.10813967967044,353.44476
2001-02-01,371.325,367.68868179697256,370.85661438230255,353.44104
2001-03-01,372.06,368.7156608130859,371.85299718514517,353.43738
2001-04-01,372.775,370.00891762945054,373.06732670703394,353.43384
2001-05-01,373.79999999999995,370.56467672375777,373.58211523177835,353.43042
2001-06-01,373.06,369.9318831386555,373.08485611855076,353.42703
2001-07-01,371.3,368.26440812965353,371.72437064816523,353.42377
2001-08-01,369.425,366.2864568519659,369.8368049965207,353.4206
2001-09-01,367.88,364.5699491732073,368.26807300451753,353.4175
2001-10-01,368.05,364.6806051384846,368.28119857822554,353.4145
2001-11-01,369.375,365.91923709798687,369.4392315855295,353.41153
2001-12-01,371.02,367.19286885586956,370.64604736455743,353.40866
