date,actual,forecast,lower_ci,upper_ci,trend,yearly
1995-09-01,358.0,358.99255741564,357.87620274012835,360.0558861102881,361.92759365742853,-2.93503624178849
1995-10-01,357.85,358.85686393380445,357.77866007489456,359.89703017332084,362.0549810133718,-3.198117079567326
1995-11-01,359.475,360.10852693252565,358.9815843782489,361.24838574684514,362.1866146145131,-2.0780876819874146
1995-12-01,360.7,361.3579385891799,360.25021587706044,362.5545609369109,362.31400197045633,-0.9560633812763869
1996-01-01,362.025,362.36320827359697,361.09472087546,363.54471704891625,362.4456355715976,-0.08242729800065225
1996-02-01,363.175,363.15205205746486,361.80477025608326,364.3899924593532,362.57726917273885,0.5747828847259772
1996-03-01,364.06000000000006,364.1342097101854,362.7011672980458,365.48347543490723,362.700410283484,1.433799426701407
1996-04-01,364.7,365.3562527787994,364.0180361016211,366.7072182926672,362.8320438846253,2.524208894174102
1996-05-01,365.325,365.78422395532306,364.251366451933,367.21410069838225,362.9594312405685,2.8247927147545364
1996-06-01,364.88,365.29905627072134,363.78018227642065,366.81535536107265,363.0910648417098,2.207991429011554
1996-07-01,363.475,363.98373011759486,362.50110422087516,365.49128069881414,363.218452197653,0.7652779199418822
1996-08-01,361.32,362.02862601080415,360.42613311440107,363.66530806222426,363.35008579879434,-1.321459787990174
1996-09-01,359.4,360.48977869805907,358.8458210201278,362.05615334469854,363.4817193999356,-2.9919407018765303
1996-10-01,359.625,360.578859839533,358.74596749070304,362.4306660431095,363.6091067558789,-3.0302469163459254
1996-11-01,360.74,361.6916690053555,359.9191383089857,363.4249094354653,363.74074035702023,-2.049071351664758
1996-12-01,362.375,362.8760982816562,360.96391500026607,364.72239470117574,363.8681277129634,-0.9920294313072059
1997-01-01,363.125,363.9000641063166,362.01205413901215,365.6883319780092,363.9997613141047,-0.09969720778810293
1997-02-01,363.875,364.64825318494087,362.65906594892044,366.5730281516116,364.13139491524606,0.5168582696947883
1997-03-01,364.56,365.64476313227254,363.642227613877,367.6396794521915,364.25028978079297,1.3944733514795655
1997-04-01,366.325,366.8589854007241,364.74889221241256,368.90275069674914,364.38192338193437,2.477062018789767
1997-05-01,366.68,367.37376422807097,365.2357832310732,369.5724363472944,364.5093107378775,2.8644534901934704
1997-06-01,365.475,366.87647648161163,364.671984335146,369.00141666651587,364.64094433901886,2.2355321425927945
1997-07-01,364.375,365.5159449337714,363.2746991448468,367.68675924348497,364.76833169496206,0.7476132388093497
1997-08-01,362.46,363.62836550506626,361.27206706695523,365.9011057941998,364.89996529610335,-1.2715997910371055
1997-09-01,360.15,362.0595718131996,359.6232291635088,364.4670750397612,365.0315988972447,-2.9720270840450898
1997-10-01,360.75,362.072773970453,359.5642815993958,364.5192540740918,365.15898625318783,-3.086212282734818
1997-11-01,362.38,363.23084126333686,360.7308088922474,365.76244437837005,365.2906198543292,-2.059778590992313
1997-12-01,364.25,364.43754012519923,361.68280895986265,366.99191950495566,365.4180072102724,-0.9804670850731458
1998-01-01,365.34,365.45575788067646,362.85807323175953,368.03372046803224,365.54964081141367,-0.0938829307372063
1998-02-01,366.2,366.21813574753173,363.3959918471721,368.9688126349026,365.681274412555,0.536861334976739
1998-03-01,367.375,367.1546494027358,364.16648043592636,369.97192341995793,365.800169278102,1.3544801246338523
1998-04-01,368.525,368.3625734569927,365.37568115816657,371.13944877077205,365.9318028792433,2.430770577749403
1998-05-01,369.14,368.96406647290553,365.89073395932917,371.94418743911416,366.0591902351865,2.9048762377189856
1998-06-01,368.75,368.453231588102,365.2528863322535,371.4882048729728,366.1908238363278,2.2624077517742474
1998-07-01,367.6,367.0482058918786,363.8533287245682,370.1218008687776,366.318211192271,0.7299946996075676
1998-08-01,365.72,365.2283316339867,361.9967764456554,368.39656554556217,366.4498447934123,-1.2215131594255517
1998-09-01,363.925,363.628421851912,360.2348732793816,366.8294434724787,366.58147839455364,-2.953056542641686
1998-10-01,364.32,363.56667710703846,360.0899637674159,366.89070805693393,366.7088657504969,-3.1421886434584287
1998-11-01,365.55,364.7710452012502,361.1712697084985,368.0901443029712,366.84049935163813,-2.069454150387929
1998-12-01,366.925,365.99941794618906,362.6072656820848,369.3884690743599,366.9678867075814,-0.9684687613923516
1999-01-01,368.12,367.01140341745355,363.3950530587076,370.632812591351,367.09952030872273,-0.08811689126916668
1999-02-01,368.85,367.7873330069724,364.07632416486285,371.27605183772147,367.231153909864,0.5561790971083692
1999-03-01,369.6,368.66391408458765,364.9026835719705,372.4040959143642,367.3500487754109,1.3138653091767374
1999-04-01,370.975,369.8670633701826,366.1173016261638,373.7751096352454,367.48168237655227,2.3853809936303576
1999-05-01,370.84,370.555089782564,366.49207885515807,374.26637928111285,367.6090697324955,2.9460200500684492
1999-06-01,370.25,370.02929688980106,365.9854393048688,373.90992266408153,367.7407033336369,2.288593556164198
1999-07-01,369.0,368.5805345794373,364.49020102607767,372.4444824154883,367.86809068958,0.7124438898572977
1999-08-01,366.7,366.82849144709974,362.66405460225025,370.89835333919603,367.99972429072136,-1.1712328436216066
1999-09-01,364.675,365.19632165007425,360.89418704443773,369.2973383941201,368.13135789186265,-2.9350362417883766
1999-10-01,365.14,365.0606281682385,360.69371044150193,369.2899942250762,368.25874524780585,-3.198117079567343
1999-11-01,366.65,366.3122911669598,361.9780385852237,370.56014551809864,368.3903788489472,-2.0780876819873706
1999-12-01,367.9,367.56170282361404,363.14793801151467,371.78007331515465,368.51776620489034,-0.9560633812763041
2000-01-01,369.02,368.56697250803103,364.07418448464745,372.955790839718,368.6493998060317,-0.08242729800066344
2000-02-01,369.375,369.35581629189886,364.76564671156683,373.82579822321577,368.78103340717297,0.5747828847258669
2000-03-01,370.4,370.33797394461914,365.6679122696667,374.9451608085956,368.904174517918,1.4337994267011211
2000-04-01,371.54,371.56001701323345,366.76906640326354,376.1298402310286,369.0358081190594,2.524208894174044
2000-05-01,371.65,371.9879881897572,366.94738327054506,376.75458993525143,369.1631954750026,2.824792714754572
2000-06-01,371.625,371.50282050515574,366.43021010591747,376.2524438841631,369.29482907614397,2.207991429011779
2000-07-01,369.94,370.1874943520289,365.09211671205134,375.01468418397764,369.4222164320871,0.7652779199418337
2000-08-01,367.95,368.23239024523855,362.9914613649697,373.1841476792825,369.55385003322846,-1.3214597879898897
2000-09-01,366.54,366.6935429324932,361.35085284055714,371.7622707058875,369.68548363436975,-2.991940701876539
2000-10-01,366.725,366.7826240739669,361.3685744286834,372.03768740065254,369.81287099031294,-3.0302469163460843
2000-11-01,368.125,367.8954332397895,362.3957303783805,373.2181362556616,369.9445045914543,-2.0490713516648196
2000-12-01,369.44,369.0798625160903,363.55204593779496,374.5739015748753,370.07189194739743,-0.9920294313071395
2001-01-01,370.175,370.10382834075074,364.29752826931326,375.4442396106061,370.2035255485388,-0.09969720778802012
2001-02-01,371.325,370.8520174193749,364.8749203910025,376.35138815581547,370.33515914968007,0.5168582696947851
2001-03-01,372.06,371.84852736670666,365.95656501303023,377.6202660762855,370.4540540152271,1.3944733514795968
2001-04-01,372.775,373.06274963515784,367.02194807098107,378.71667218024197,370.5856876163684,2.4770620187894417
2001-05-01,373.8,373.57752846250486,367.49754453896213,379.4178477286368,370.7130749723116,2.864453490193303
2001-06-01,373.06,373.08024071604575,366.76484146593685,378.8992869873593,370.8447085734529,2.2355321425928354
2001-07-01,371.3,371.71970916820555,365.345273444647,377.65003487089496,370.97209592939606,0.7476132388095008
2001-08-01,369.425,369.8321297395003,363.62878980545753,375.71522918814304,371.1037295305374,-1.2715997910370818
2001-09-01,367.88,368.26333604763363,361.78512648730344,374.36149885529915,371.2353631316787,-2.9720270840450667
2001-10-01,368.05,368.27653820488683,361.7061742658765,374.54350567227425,371.362750487622,-3.086212282735154
2001-11-01,369.375,369.4346054977709,362.58356866931285,375.6795415653297,371.49438408876324,-2.059778590992295
2001-12-01,371.02,370.6413043596334,363.6558504403884,377.03340002194403,371.6217714447065,-0.980467085073065
